width,time_map_us,time_list_us,nodes_in_g
10,1,301,11
20,2,301,21
30,2,297,31
40,3,300,41
50,5,299,51
60,4,296,61
70,5,297,71
80,6,298,81
90,10,293,91
100,7,291,101
110,7,298,111
120,13,292,121
130,11,295,131
140,9,295,141
150,10,297,151
160,14,293,161
170,12,298,171
180,20,294,181
190,15,300,191
200,17,294,201
210,17,294,211
220,16,295,221
230,21,291,231
240,21,287,241
250,22,290,251
260,21,293,261
270,24,292,271
280,28,290,281
290,22,294,291
300,26,294,301
310,23,292,311
320,22,293,321
330,26,362,331
340,34,347,341
350,28,406,351
360,33,413,361
370,31,412,371
380,31,357,381
390,29,380,391
400,32,331,401
410,40,554,411
420,54,404,421
430,33,405,431
440,34,440,441
450,37,417,451
460,35,344,461
470,36,377,471
480,36,359,481
490,40,335,491
500,48,336,501
510,39,449,511
520,41,334,521
530,44,390,531
540,40,331,541
550,41,386,551
560,42,400,561
570,89,398,571
580,47,401,581
590,78,378,591
600,50,415,601
610,50,395,611
620,47,383,621
630,45,457,631
640,49,355,641
650,47,343,651
660,52,383,661
670,50,335,671
680,49,390,681
690,56,349,691
700,54,330,701
710,51,386,711
720,52,329,721
730,52,345,731
740,166,353,741
750,79,331,751
760,54,357,761
770,58,334,771
780,56,393,781
790,62,380,791
800,87,397,801
810,89,399,811
820,81,435,821
830,76,424,831
840,73,423,841
850,79,404,851
860,88,387,861
870,76,540,871
880,80,434,881
890,80,431,891
900,81,424,901
910,80,402,911
920,104,390,921
930,88,420,931
940,86,429,941
950,86,403,951
960,98,385,961
970,85,456,971
980,85,407,981
990,86,412,991
1000,83,399,1001
1010,87,378,1011
1020,99,412,1021
1030,86,407,1031
1040,88,400,1041
1050,86,392,1051
1060,102,380,1061
1070,85,416,1071
1080,86,400,1081
1090,90,404,1091
1100,92,410,1101
1110,89,388,1111
1120,103,401,1121
1130,93,399,1131
1140,92,388,1141
1150,104,377,1151
1160,101,415,1161
1170,99,400,1171
1180,96,540,1181
1190,100,413,1191
1200,101,406,1201
