width,time_map_us,time_list_us,nodes_in_g
10,62,292,11
20,66,293,21
30,67,299,31
40,78,288,41
50,65,288,51
60,69,288,61
70,69,285,71
80,68,285,81
90,70,336,91
100,98,313,101
110,74,296,111
120,70,287,121
130,73,285,131
140,69,288,141
150,70,286,151
160,72,285,161
170,71,296,171
180,71,286,181
190,71,285,191
200,70,285,201
210,71,286,211
220,72,287,221
230,72,316,231
240,74,290,241
250,74,287,251
260,76,285,261
270,74,284,271
280,74,286,281
290,75,286,291
300,150,286,301
310,74,285,311
320,75,287,321
330,75,285,331
340,76,284,341
350,77,286,351
360,73,288,361
370,75,286,371
380,76,285,381
390,80,285,391
400,80,292,401
410,79,287,411
420,79,284,421
430,78,285,431
440,78,286,441
450,79,285,451
460,80,284,461
470,81,285,471
480,81,285,481
490,83,284,491
500,81,287,501
510,81,287,511
520,81,286,521
530,81,285,531
540,82,286,541
550,82,287,551
560,83,284,561
570,83,284,571
580,84,284,581
590,85,285,591
600,84,285,601
610,83,289,611
620,87,288,621
630,85,290,631
640,86,285,641
650,85,285,651
660,87,286,661
670,92,287,671
680,88,285,681
690,89,283,691
700,89,297,701
710,90,285,711
720,88,285,721
730,89,284,731
740,89,284,741
750,87,286,751
760,91,285,761
770,94,284,771
780,90,285,781
790,91,285,791
800,91,285,801
810,91,285,811
820,91,286,821
830,90,283,831
840,92,285,841
850,91,286,851
860,92,286,861
870,96,286,871
880,94,284,881
890,93,286,891
900,94,288,901
910,94,284,911
920,95,286,921
930,95,284,931
940,96,286,941
950,94,287,951
960,95,289,961
970,97,286,971
980,98,284,981
990,97,288,991
1000,99,289,1001
1010,98,284,1011
1020,99,287,1021
1030,98,288,1031
1040,99,289,1041
1050,102,284,1051
1060,100,284,1061
1070,100,286,1071
1080,101,284,1081
1090,102,283,1091
1100,99,290,1101
1110,118,340,1111
1120,105,454,1121
1130,104,296,1131
1140,107,306,1141
1150,108,307,1151
1160,108,300,1161
1170,116,319,1171
1180,115,323,1181
1190,115,324,1191
